2026-03-26 16:55:07.329 [main] INFO  c.miqroera.biosensor.MofBasedBiosensorApplication - Starting MofBasedBiosensorApplication using Java 17.0.12 with PID 1788 (D:\code\work\2-bio-group\mof-biosensor\mof-biosensor-server\target\classes started by PC in D:\code\work\2-bio-group\mof-biosensor\mof-biosensor-server)
2026-03-26 16:55:07.330 [main] INFO  c.miqroera.biosensor.MofBasedBiosensorApplication - The following 2 profiles are active: "knife4j", "dev"
2026-03-26 16:55:07.955 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-03-26 16:55:07.956 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
2026-03-26 16:55:07.968 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 6 ms. Found 0 JDBC repository interfaces.
2026-03-26 16:55:07.979 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-03-26 16:55:07.979 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-03-26 16:55:07.989 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 2 ms. Found 0 Redis repository interfaces.
2026-03-26 16:55:08.494 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 9093 (http)
2026-03-26 16:55:08.503 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9093"]
2026-03-26 16:55:08.505 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2026-03-26 16:55:08.505 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.52]
2026-03-26 16:55:08.563 [main] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/api] - Initializing Spring embedded WebApplicationContext
2026-03-26 16:55:08.564 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1196 ms
2026-03-26 16:55:08.758 [main] INFO  o.s.v.beanvalidation.OptionalValidatorFactoryBean - Failed to set up a Bean Validation provider: jakarta.validation.NoProviderFoundException: Unable to create a Configuration, because no Jakarta Bean Validation provider could be found. Add a provider like Hibernate Validator (RI) to your classpath.
2026-03-26 16:55:09.416 [main] INFO  c.b.m.e.spring.MybatisPlusApplicationContextAware - Register ApplicationContext instances org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@59221b97
2026-03-26 16:55:09.720 [main] INFO  com.zaxxer.hikari.HikariDataSource - MiQroProbeHikariPool - Starting...
2026-03-26 16:55:10.012 [main] INFO  com.zaxxer.hikari.pool.HikariPool - MiQroProbeHikariPool - Added connection com.mysql.cj.jdbc.ConnectionImpl@a4dcede
